Cell class,Cell type,Classifiers,Vesicle type,Reference (this study if missing),DOI,
ADA,Interneuron,Most of connections to other neurons and not sensory,Mixed clear and dense-core vesicles,,,
ADE,Modulatory neuron,Dopaminergic,Mixed clear and dense-core vesicles,"Sulston et al., 1975",10.1002/cne.901630207,
ADF,Sensory neuron,Ciliated sensory dendrites,Mixed clear and dense-core vesicles,"White et al., 1986",10.1098/rstb.1986.0056,
ADL,Sensory neuron,Ciliated sensory dendrites,Mixed clear and dense-core vesicles,"White et al., 1986",10.1098/rstb.1986.0056,
AFD,Sensory neuron,Ciliated sensory dendrites,Mixed clear and dense-core vesicles,"White et al., 1986",10.1098/rstb.1986.0056,
AIA,Interneuron,Most of connections to other neurons and not sensory,Mixed clear and dense-core vesicles,,,
AIB,Interneuron,Most of connections to other neurons and not sensory,Mixed clear and dense-core vesicles,,,
AIM,Modulatory neuron,"Serotonergic, modulates food-related behaviors",Mixed clear and dense-core vesicles,"Jafari et al., 2011",10.1523/JNEUROSCI.1692-11.2011,
AIN,Interneuron,Most of connections to other neurons and not sensory,Mixed clear and dense-core vesicles,,,
AIY,Interneuron,Most of connections to other neurons and not sensory,Mixed clear and dense-core vesicles,,,
AIZ,Interneuron,Most of connections to other neurons and not sensory,Mixed clear and dense-core vesicles,,,
ALA,Modulatory neuron,Predominantly contains dense core vesicle,Mostly dense-core,,,
ALM,Sensory neuron,Functionally shown,Mixed clear and dense-core vesicles,"Chalfie et al., 1985",10.1098/rstb.1986.0056,
ALN,Sensory neuron,Sensory-like dendritic processes in sublateral coords without synapses,Mixed clear and dense-core vesicles,"White et al., 1986",10.1098/rstb.1986.0056,
AQR,Sensory neuron,Ciliated sensory dendrites,Mixed clear and dense-core vesicles,"White et al., 1986",10.1098/rstb.1986.0056,
ASE,Sensory neuron,Ciliated sensory dendrites,Mixed clear and dense-core vesicles,"White et al., 1986",10.1098/rstb.1986.0056,
ASG,Sensory neuron,Ciliated sensory dendrites,Mixed clear and dense-core vesicles,"White et al., 1986",10.1098/rstb.1986.0056,
